Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Disappointment Prompts,"I recently had a plumber come to fix a leak in my bathroom, but after he left, the leak was still there. He charged me a lot for the job, and now I need to call someone else to fix it. How can I express my frustration?","Hey, I wanted to let you know that I'm frustrated about the plumbing issue. I understand that these things happen, but I'm annoyed that I still have a leak after paying a lot for the repair. I feel like I've wasted my time and money, and now I have to deal with the hassle of finding another plumber. I wish he had just been honest if he couldn't fix it. I hope you understand my frustration, especially since it's costing me more time and money to resolve this issue.",Friends RAG,5,2,5,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a bridesmaid, but now I canג€™t commit. How can I let the bride know without causing drama?","Hi, I hope you're doing well. I need to talk to you about something important regarding the wedding. Can we chat when you're free? I'm having some issues with my commitment as a bridesmaid.",Claude,3,2,5,Bella
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are affecting our relationship. How can I say this kindly?,"Hey [Friend's Name], I hope you’re doing well! I wanted to chat about something that’s been bothering me a bit. I’ve noticed that our plans have been canceled frequently, and it’s starting to affect how I feel about our friendship. I really value our time together and hope we can find a way to make it work. Thanks for listening!",GPT,2,4,5,Bella
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"I'm honored you considered me for your business. After careful thought, I don't think it's the right fit for me. I value our friendship and hope this doesn't change things between us.",Claude,3,4,5,Bella
Telling a roommate they need to move out,I want to move in with someone else and need my current roommate to leave. How do I tell them this politely?,"Hey, I know we're roommates and all, but I wanted to talk to you about something important. I hope you know I value our friendship, and I'm so grateful for all the times we've shared. But, I've been feeling like I need a change, and I think it's time for me to move on and live with someone else. I wanted to let you know personally because I care about you, and I hope we can still be friends. I'll involve our landlord in the process, and we can go from there. Thanks for understanding.",Friends RAG,5,4,4,Bella
Addressing a friend who frequently cancels plans,"A friend keeps canceling our plans last minute, and itג€™s frustrating. How can I bring it up without damaging the friendship?","
Hey [Friend's Name], I hope you’re doing well! I wanted to talk about our plans because I’ve noticed that they keep getting canceled last minute. It’s been a bit frustrating for me. I really value our time together and hope we can find a way to make it work. Thanks for understanding!",GPT,3,4,4,Bella
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,I need to talk to you about our friendship. I've been feeling like it's become a bit one-sided. Can we meet up to discuss this?,Claude,2,3,5,Bella
Ending a collaboration thatג€™s not working,"Iג€™ve been working with someone on a project, but itג€™s not going well. How can I end the collaboration without causing conflict?","Hey, can we discuss our project? I feel like it's not progressing as we'd hoped. I'd like to chat about where we go from here.",Claude,2,3,4,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I donג€™t want to be a groomsman anymore. How can I tell my friend without causing hard feelings?,"Hi mate, I hope you're doing well. There's something important I need to discuss with you about the wedding. Can we catch up soon? I'm having some issues with my groomsman duties.",Claude,5,2,4,Bella
Ending a collaboration thatג€™s not working,I need to end a partnership thatג€™s not working. How can I phrase this without causing conflict?,"Hey, I wanted to chat about our partnership. I think we both know it's not working as well as we'd hoped. I think it's best to end things now and part ways. I'm sorry, but I think it's for the best. We can still be civil and professional, though, right? No need for conflict.",Friends RAG,3,4,4,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about an idea, but I know itג€™s not realistic. How can I let them down without hurting their feelings?","Hey, I know you're really excited about your idea. Can we chat about it? I have some thoughts I'd like to share.",Claude,2,2,5,Bella
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"I truly appreciate you thinking of me for your business. After giving it a lot of thought, I don't think it's the right fit for me. I value our friendship and hope this doesn't affect it.",Claude,3,2,5,Bella
Cancelling plans last minute,I had a family emergency come up and need to cancel plans. How do I explain this without making them feel unimportant?,"Hi, I'm so sorry but I have to cancel our plans. There's a family emergency I need to deal with. Can we reschedule? You're important to me and I hate to do this.",Claude,5,5,5,Bella
Asking a coworker to stop copying your work,"A coworker keeps copying my work, and itג€™s making me uncomfortable. How can I ask them to stop without creating drama?","Hey, can we chat privately for a moment? I've noticed some similarities between our work lately, and I wanted to discuss it with you. It's making me a bit uncomfortable, and I hope we can find a solution together.",Claude,2,3,5,Bella
Rejecting someone who confessed their feelings,"Someone I work with confessed their feelings for me, but I donג€™t feel the same way. How do I reject them while keeping it professional?","Hey [Name], I really appreciate you sharing your feelings with me, and it means a lot. I want to be honest and let you know that I don’t feel the same way. I value our professional relationship and hope we can continue to work together respectfully. Thank you for understanding!",GPT,3,5,4,Bella
Break Up,"Iג€™ve been seeing someone for a while, but Iג€™ve realized we have different life goals. Could you help me phrase a breakup message?","Hey, I hope you're doing well. There's something important I need to talk to you about. I've been doing a lot of thinking, and I feel like our life goals are different. Can we meet up to talk?",Claude,4,3,4,Bella
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™ve realized Iג€™m happier when Iג€™m alone. Can you help me write a breakup message?","Hey [Partner's Name], I want to talk to you about something important. I’ve really appreciated the time we’ve spent together, but I’ve come to realize that I’m happier when I’m alone and that I need to focus on my own well-being right now. This isn’t an easy decision for me, and it’s not a reflection of you or anything you’ve done. I think it’s best for both of us to go our separate ways. I truly wish you the best moving forward, and I’m grateful for the moments we shared.",GPT,3,5,4,Bella
Service Cancellation Prompts,"Iג€™ve been seeing the same massage therapist for a while, but Iג€™ve decided to try a new one. How can I kindly let them know I wonג€™t be scheduling more sessions?","Hey, I wanted to let you know that I've decided to try seeing a new massage therapist. I just wanted to say thank you for all your help and let you know that I really appreciate everything you've done for me. I hope you understand, and I wish you all the best.",Friends RAG,3,5,3,Bella
Break Up,Iג€™m seeing someone but realized that Iג€™m not over my ex. How do I break up without making it worse?,"Hey [Their Name], I hope you’re doing well. I’ve been doing some thinking about our relationship, and I want to be honest with you. I’ve really enjoyed getting to know you, but I’ve come to realize that I’m still not fully over my ex. It wouldn’t be fair to you or to me to continue when I’m not completely ready to move forward. I think it’s best for both of us if we part ways now. I truly appreciate the time we’ve spent together, and I wish you all the best moving forward.",GPT,4,5,5,Bella
Disappointment Prompts,"I had a bad experience with a caterer for my event. They arrived late, the food was cold, and they ran out of drinks halfway through. How can I write a message to express my disappointment?","Hi [Caterer’s Name], I hope you’re well. I wanted to share my feedback regarding the catering service for my event on [date]. Unfortunately, I was quite disappointed with the experience. The team arrived late, the food was served cold, and we ran out of drinks halfway through the event. These issues impacted the overall experience for my guests, and I expected better based on our prior discussions. I appreciate your attention to this matter and hope we can discuss a resolution.",GPT,5,5,5,Bella
Rejecting a gift or favor that has strings attached,I was offered a favor that seems to have strings attached. How can I reject it kindly without offending them?,"I really appreciate your kind offer. However, I don't feel comfortable accepting it. Thank you for your thoughtfulness.",Claude,2,3,3,Bella
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,I've been doing some thinking about our friendship. I feel like we've grown in different directions. Can we chat about where we're at?,Claude,2,3,3,Bella
Service Cancellation Prompts,"Iג€™ve had a babysitter for a while, but I no longer need her services as my work schedule has changed. How do I phrase a message to let her know?","Hi, I hope you're well. My work schedule has changed, and I no longer need babysitting services. Thank you so much for all your help and reliability.",Claude,3,3,3,Bella
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey [Friend's Name], I hope you’re doing okay. I wanted to talk about something that’s been weighing on me. I feel that our friendship has become one-sided and a bit draining for me. I think it’s best for both of us to part ways. I appreciate the good times we’ve had, and I wish you all the best moving forward. Thank you for understanding!",GPT,3,5,4,Bella
Break Up,"Iג€™ve been seeing a guy for 2 months, but his jealousy is starting to make me uncomfortable. How do I end the relationship without making it confrontational?","Hey, I wanted to talk to you about [Name of Guy]. I like him, but his jealousy is a major turn-off and makes me feel uncomfortable. I think it's best we end things now before they get more serious. I wish you the best, and hope we can both move on without any drama. Take care!",Friends RAG,3,2,3,Bella
Rejecting a gift or favor that has strings attached,"I was offered a gift by someone, but I donג€™t want to accept it due to expectations. How can I refuse it kindly?","Hi, thank you so much for your kind offer. I'm truly grateful for your generosity. However, I don't feel comfortable accepting it due to the associated expectations. I hope you can understand.",Claude,2,4,3,Bella
Turning down a job offer or promotion,"The role offered seems great, but after thinking it over, I realized it's not the right fit for me. How can I say no without closing doors?","Hey, so I gave it a lot of thought, and as amazing as the role sounds, I don't think I'm the right fit for it. I wanted to let you know ASAP so you can find someone else who's a better match. I hope you understand, and I'm sure we can still work together in the future!",Friends RAG,5,5,5,Bella
Service Cancellation Prompts,"Iג€™ve been using the same house cleaning service for years, but I found a more convenient option. How do I politely let them know Iג€™m canceling the service?","Hello, I hope this message finds you well. I've found a more convenient cleaning option, so I'll be discontinuing your service. Thank you for your excellent work over the years.",Claude,3,5,3,Bella
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but their advice is no longer relevant. How can I end the relationship without causing offense?","Hi, I hope this message finds you well. I wanted to chat about our mentorship. My needs have changed, and I think it might be time for me to explore other avenues. Can we discuss this?",Claude,4,3,3,Bella
Ending a mentorship or advising relationship,"Iג€™m ready to move on from my mentorship, but I donג€™t want to hurt their feelings. How can I bring this up kindly?","Hi, I'd like to talk about our mentorship. I've really valued your guidance, but I think it's time for a change. Can we discuss this?",Claude,3,3,3,Bella
Asking a neighbor to stop being too loud,"The neighborג€™s dog is constantly barking, and I want to ask them to address it. How do I say this politely?","Hey, I wanted to talk to you about your dog. I'm not sure if you're aware, but the barking has been pretty constant and it's becoming a bit of an issue. I wanted to bring it up with you directly before taking any other steps. I'm sure you can sort it out, but I thought you should know.",Friends RAG,4,4,4,Bella
,,,,,,,Bella
Service Cancellation Prompts,"Iג€™ve had the same personal chef, but Iג€™ve decided to cook for myself now. How can I let them know I no longer need their services?","""Hey, I wanted to let you know that I've decided to start cooking for myself. I've really appreciated your help and your delicious meals, but I think it's time for me to explore my own culinary skills. I hope you understand, and I wish you all the best with your future endeavors. Thanks for everything!""",Friends RAG,4,4,5,Bella
Telling a roommate they need to move out,I need more space and want to ask my roommate to move out. How do I do this without causing tension?,"Hey, I wanted to talk to you about something that's been on my mind. I think it's time for me to find a new place, and I was hoping we could figure out a way to do this without creating any tension between us. I really value our friendship, and I hope we can make this work. I know your work schedule, so I was thinking I could start looking for a new place and try to move out when you're at work, so it's less disruptive for you. Let me know what you think when you have a chance. Thanks!",Friends RAG,5,1,5,Bella
Service Cancellation Prompts,"Iג€™ve been seeing the same therapist for a while, but Iג€™ve decided to switch to someone else. How can I inform them that I wonג€™t be continuing?","Hey, I wanted to let you know that I've been thinking about our sessions, and I feel like I need to make a change. I've decided to start seeing a different therapist. I just wanted to say thank you for your help so far, and I wish you all the best.",Friends RAG,3,4,4,Bella
Disappointment Prompts,"I booked a guided tour, but the guide was unprofessional. He arrived late, rushed through the tour, and didnג€™t provide much information. How can I express my disappointment in a message to the tour company?","Hey, I wanted to let you know that I was really disappointed with the recent guided tour I booked with your company. The guide arrived late, rushed through the entire experience, and provided little to no valuable information. I understand that things can go wrong, but this was really unacceptable and affected my overall experience. I wanted to bring this to your attention so that you can ensure that other customers don't have a similar experience. Thank you for your understanding.",Friends RAG,5,5,5,Bella
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Hey, I know this is tough, but it's important to be honest with them. Something like, ""Hey Mom and Dad, I know this might be a disappointment, but I wanted to talk to you about my future plans. I have different dreams and I don't see myself taking over the family business. I hope you can understand and support me in this."" It's direct but respectful, and it leaves room for further discussion. Good luck!",Friends RAG,4,3,3,Bella
Confronting someone about a hygiene issue,"A family member has a hygiene issue, and I want to tell them without causing embarrassment. How should I phrase this?","Hey, I wanted to talk to you about something a little sensitive. I've noticed that you might be dealing with a hygiene issue, and I wanted to bring it up directly with you rather than have someone else mention it. I care about you, and I don't want this to become a bigger problem or cause any embarrassment. I'm here to support you, and I hope we can work on this together.",Friends RAG,5,5,5,Bella
Pushy Parents,"My parents think Iג€™m wasting time by pursuing my artistic career, but itג€™s what I love. How can I express that I donג€™t want to give up on my dreams just to make them happy?","Hey Mom and Dad, I know you worry that I might be wasting my time by focusing on my art, and I appreciate that you want what’s best for my future. But I need you to know that pursuing my artistic career is what makes me truly happy and fulfilled. It’s something I’m deeply passionate about, and I believe that with hard work, I can make it into something meaningful. I understand that it might not be the path you had in mind for me, but I hope you can trust that I’m doing what feels right for me. I really value your support, and it would mean a lot to me to have your understanding as I follow this dream.",GPT,5,5,5,Bella
Pushy Parents,"My parents are pressuring me to stay in my hometown, but Iג€™ve always wanted to explore the world. How do I tell them that I need to go after my dream of living abroad?","Hey, I wanted to talk to you about something that's been on my mind. I love you, and I know you want what's best for me, but I think it's time for me to spread my wings and explore the world. I have this dream of living abroad, and I need you to know that it's important to me. I understand if you're worried, but I hope you can support me in this. I promise to keep in touch and let you know my plans. I just need you to understand that this is something I need to do for myself.",Friends RAG,5,5,5,Bella
Confronting someone about a hygiene issue,A friend has a hygiene problem thatג€™s making me uncomfortable. How can I bring it up without hurting their feelings?,"Hey, there's something I want to talk to you about. It's a bit awkward, but I think it's important. Can we chat privately?",Claude,3,2,4,Bella
Addressing someone whoג€™s not paying you back,"A friend borrowed money from me months ago, and I need to ask for it back. How can I phrase this without making things awkward?","Hey [Friend's Name], I hope you’re doing well! I just wanted to check in about the money I lent you a while back. I know things can get busy and slip through the cracks, but I’d really appreciate it if you could pay it back when you’re able. Let me know if you need a bit more time—I totally understand. Thanks so much!",GPT,5,5,5,Bella
Telling a roommate they need to move out,Iג€™m no longer comfortable living with my roommate. How can I ask them to move out without making it too awkward?,"Hey, I wanted to talk to you about something that's been on my mind. I'm just not feeling comfortable with our living situation anymore. It's not that I don't like living with you, but I think I need a change. I hope you understand, and I want to figure out a way to make this work so we can both be happy. Let's talk about it soon and come up with a plan together. I value our friendship, and I hope we can find a solution that works best for both of us.",Friends RAG,5,3,4,Bella
Break Up,"Hi, Iג€™ve been dating a girl for a few months, but our communication styles are too different. How can I break up with her kindly?","Hey [Her Name], I wanted to talk to you about something that’s been on my mind. I’ve really enjoyed the time we’ve spent together over the past few months, and I appreciate getting to know you. However, I’ve realized that our communication styles are quite different, and it’s been challenging for me to connect in the way I hoped. I think it’s best for both of us to go our separate ways rather than continue in a relationship that doesn’t feel right. I truly wish you the best, and I’m grateful for the moments we’ve shared.",GPT,5,5,5,Bella
Break Up,"Iג€™ve been dating someone for a while, but their lifestyle is very different from mine, and I donג€™t see us fitting together long-term. How can I break up in a way thatג€™s respectful?","""Hey, I wanted to talk to you about something that's been on my mind. I feel like our lifestyles are very different, and I don't see how we can fit together long-term. I really care about you, and I want what's best for both of us. I think it's respectful to be honest and end things now rather than drag this out. I hope you understand, and I wish you all the best.""",Friends RAG,5,5,5,Bella
Service Cancellation Prompts,"Iג€™ve been using the same babysitting service for a while, but Iג€™ve found a new sitter. Can you help me write a message to let them know I wonג€™t need their services anymore?","Hi, I hope you're doing well. I've found a new babysitter, so I won't be needing your services anymore. Thank you so much for all your help and reliability.",Claude,3,3,3,Bella
Confronting someone about a hygiene issue,"A coworker has a body odor issue, and I need to bring it up tactfully. How can I phrase this without embarrassing them?","Hey [Coworker's Name], I hope you don’t mind me bringing this up—I just wanted to share something that might be a bit uncomfortable, but I think it’s important to mention as a friend/colleague. I’ve noticed that there might be a personal hygiene issue, and I thought it might be something you’d want to know in case you weren’t aware. I hope this doesn’t come across the wrong way, and I’m only bringing it up because I care and respect you. Please feel free to reach out if you want to talk more about it",GPT,4,5,3,Bella
Pushy Parents,"My parents keep telling me to stop pursuing my art and get a 'real job,' but art is my passion. How can I let them know that I donג€™t want to give up my dream just to meet their expectations?","Hey, I know it's a bit scary, but I think it's important to be honest with them about your passion for art. Something like: ""Hey, I know you want what's best for me, but art is really important to me, and I don't want to give up on my dream just yet. I get that you want me to have a 'real job', but I'm asking you to let me pursue my passion for now. I promise I'll keep an open mind about other opportunities, but art is what I love, and I hope you can support me in that."" 
 
 Good luck!",Friends RAG,5,5,5,Bella
Disappointment Prompts,"I hired a photographer for a family event, but the photos turned out blurry, and she missed several key moments. How can I politely express my disappointment in the quality of her work?","Hey, I wanted to reach out and let you know that I was really looking forward to having these photos as keepsakes, but I'm disappointed with how they turned out. I appreciate your effort and the time you spent with us, but I feel like some key moments were missed, and many of the photos are blurry. I wanted to bring this up with you directly because I value honesty and wanted to give you constructive feedback. I hope you can understand where I'm coming from.",Friends RAG,5,4,4,Bella
Ending a collaboration thatג€™s not working,"A partnership Iג€™m involved in isnג€™t working, and I want to step away. How can I express this professionally?","Hi [Partner's Name], I hope you’re doing well. I wanted to discuss our partnership regarding [Project/Business Name]. After careful consideration, I’ve realized that it’s not working out as I had hoped, and I believe it’s best for me to step away. I appreciate the time and effort we’ve invested together, and I wish you all the best moving forward. Thank you for your understanding!",GPT,4,4,3,Bella
Disappointment Prompts,"Iג€™ve been going to the same salon for years, but my last haircut was really bad. The stylist cut my hair way shorter than I asked for, and she was distracted the whole time. How can I express my disappointment to the salon owner?","Hi [Salon Owner's Name], I hope you’re well. I wanted to reach out regarding my recent visit to the salon on [date]. I’ve been a loyal customer for years, but I was very disappointed with my last haircut. The stylist cut my hair much shorter than I requested, and I felt that she was distracted during the appointment. I value the quality of service you provide, and I hope my feedback can help improve future experiences. Thank you for your attention.",GPT,5,4,5,Bella
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"
Hey [Friend's Name], I hope you’re doing okay. I’ve been doing some thinking about our friendship, and I feel that it’s no longer healthy for me. I think it’s best for both of us to part ways. I appreciate the good times we've shared, and I wish you all the best moving forward. Thank you for understanding!",GPT,3,3,5,Bella
Turning down a family or cultural expectation,"My family is pressuring me to pursue a certain career, but I donג€™t want to. How can I explain this without hurting them?","
Hey [Family Member's Name], I appreciate your support and concern for my future. I wanted to share that I feel strongly about pursuing a different career path that truly resonates with me. I hope you can understand my perspective, and I really value your love and support as I make this decision.",GPT,3,3,4,Bella
Confronting someone about a hygiene issue,I have a coworker with a hygiene problem thatג€™s making things awkward at work. How can I approach this delicately?,"Hey [Coworker's Name], can we chat for a moment? I wanted to bring something up that might be a bit awkward, but I think it’s important. I’ve noticed there’s been a bit of a hygiene issue, and I thought you’d want to know. I really appreciate you being open to this conversation!",GPT,4,5,3,Bella
Disappointment Prompts,"I went to a spa for a relaxing massage, but the experience was anything but relaxing. The room was cold, the therapist was late, and I could hear construction noise the entire time. How can I complain to the spa politely?","Hi there, I wanted to reach out about my recent spa experience. Unfortunately, it wasn't as relaxing as I had hoped. The room was cold, my therapist was late, and there was constant construction noise. I'd love to discuss how we can improve this for future clients.",Claude,5,5,5,Bella
Informing someone that their gift wasnג€™t well-received,A family member gave me a gift that I canג€™t use. How do I tell them kindly if they ask about it?,"Hey, I wanted to say thank you for the gift, but also be honest and let you know that it's not really my thing. I hope you understand, and maybe next time, we can connect and you can ask me directly what I'd like or need. I appreciate the thought, though!",Friends RAG,4,5,4,Bella
Turning down a job offer or promotion,I have another job offer that aligns better with my goals. How can I politely decline the current one without offending the company?,Thank you for the offer. I've decided to accept another position that aligns more closely with my long-term goals. I appreciate your understanding and support.,Claude,4,3,4,Bella
Break Up,"Iג€™ve been dating this guy for a few months, and while I like him, I feel like we have no emotional connection. How do I break up with him without making it too awkward?","Hey [His Name], I’ve really enjoyed getting to know you over these past few months, and I think you’re a great person. But after some thought, I feel like there’s something missing for me when it comes to the emotional connection I’m looking for in a relationship. It’s not easy to say this because I do care about you, but I think it’s best for both of us if we go our separate ways. I hope you can understand, and I truly wish you all the best.",GPT,5,5,5,Bella
Turning down a family or cultural expectation,"My family is pressuring me to follow a certain path, but I donג€™t want to. How can I express this without causing tension?","Hey, I know it's tough when family puts pressure on you. I'd suggest being honest and direct, but also empathetic to their perspective. Something like:
 
 ""Hey, I wanted to talk about the path I'm taking. I know you all have my best interests at heart, but I feel pressured to follow a route that isn't right for me. I want you to know that I appreciate your concern and love, but I need to make my own choices. I hope you can understand and respect that. Let's talk it through and find a compromise we're all happy with.""
 
 Good luck! Stand your ground but try to keep the peace.",Friends RAG,5,4,5,Bella
Disappointment Prompts,"I recently went to a new doctor, and the experience was awful. He didnג€™t take the time to listen to my concerns and seemed rushed during the entire appointment. How can I express my dissatisfaction to the clinic?","Hi [Clinic Name/Office Manager's Name], I hope this message finds you well. I wanted to share my experience from my recent appointment with Dr. [Doctor's Name] on [date]. Unfortunately, I found the visit to be quite disappointing. The doctor seemed rushed and did not take the time to listen to my concerns, which made me feel unheard. I believe that patient care is essential, and I hope my feedback can help improve future visits. Thank you for your attention to this matter.",GPT,5,4,5,Bella
Informing someone that their gift wasnג€™t well-received,I received a gift that wasnג€™t what I expected. How can I express my feelings kindly if asked?,"Hey, I wanted to say thank you for the gift, but to be honest, it wasn't what I was expecting. I don't want to sound ungrateful, but I wanted to be honest if you were going to ask me about it. I appreciate the thought, though!",Friends RAG,5,5,4,Bella
Disappointment Prompts,"I recently stayed at a hotel, and while the location was great, the service was really disappointing. The room wasnג€™t cleaned properly, the staff was rude when I asked for fresh towels, and the breakfast buffet was cold and unappetizing. How can I phrase a complaint to the hotel?","Hey there! I wanted to reach out about my recent stay at your hotel. The location was perfect, but I wanted to give some feedback on the service, as it left a lot to be desired. 
 
 The room wasn't cleaned properly, and when I asked for fresh towels, the staff were quite rude and unhelpful. The breakfast buffet was also a letdown, with cold food that wasn't very appetizing. I wanted to bring this to your attention so that you can ensure other guests don't have a similar experience. Thanks, and I hope this helps improve things!",Friends RAG,5,5,5,Bella
Informing someone that their gift wasnג€™t well-received,I got a gift that I donג€™t care for. How can I express this kindly if they ask about it?,"Hey [Person's Name], thank you again for the gift—it was really thoughtful of you! While it’s not something I would have chosen for myself, I really appreciate the gesture and the effort you put into picking it out for me. It means a lot that you thought of me!",GPT,5,5,5,Bella
Confronting a family member about overstepping boundaries,A sibling keeps overstepping and meddling in my personal life. How do I ask them to respect my boundaries?,"Hey [Sibling's Name], I hope you’re doing well! I wanted to talk about something that’s been bothering me a bit. I feel like there are times when you overstep into my personal life, and I’d really appreciate it if you could respect my boundaries a bit more. I love you and value our relationship, and I hope you understand!",GPT,5,4,4,Bella
Asking a neighbor to stop being too loud,"My neighbors are really noisy late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without being rude?","Hey neighbor, I hope you're doing well. I wanted to reach out about something - the noise levels have been quite high late at night recently, and it's affecting my sleep. Could we chat about finding a solution that works for everyone?",Claude,5,5,5,Bella
Break Up,"Iג€™ve been dating someone for a few weeks, but I feel like Iג€™m not emotionally invested. Can you help me break up kindly?","Hey [Their Name], I hope you’re doing well. I wanted to talk about our relationship. I’ve enjoyed getting to know you, but after some reflection, I feel like I’m not as emotionally invested as I should be. It wouldn’t be fair to either of us to continue dating when I’m not fully engaged. I think it’s best if we part ways now. I truly appreciate the time we spent together and wish you all the best moving forward.",GPT,5,5,5,Bella
Ending a collaboration thatג€™s not working,I need to end a work collaboration thatג€™s no longer productive. How do I phrase this without burning bridges?,"Hi [Colleague's Name], I hope you’re doing well. I wanted to talk about our collaboration on [Project Name]. After some reflection, I feel that it’s not as productive as it could be, and I think it might be best for me to step back. I truly appreciate the work we’ve done together, and I hope we can stay in touch for future opportunities. Thank you for understanding!",GPT,4,4,4,Bella
Break Up,"Iג€™ve been with my boyfriend for a year, but Iג€™m starting to feel more like roommates. Could you help me with a breakup text?","Hi, I hope you're okay. There's something important I need to discuss with you. I care about you, but I feel like our relationship has changed. Can we meet up to talk about where we're at?",Claude,3,3,4,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,"Iג€™m supposed to be in a wedding party, but I canג€™t afford the expenses. How do I back out without offending my friend?","Hey, I know we spoke about me being in your wedding party, and I really want you to know that I'm so happy for you and I want to support you. But, I have to be honest, I can't really afford all the expenses that come with it. I don't want to back out and upset you, but I'm worried about the cost. I hope you understand.",Friends RAG,5,4,5,Bella
