Category,query,Response ,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Disappointment Prompts,"I booked a guided tour, but the guide was unprofessional. He arrived late, rushed through the tour, and didnג€™t provide much information. How can I express my disappointment in a message to the tour company?","Hi [Tour Company Name], I wanted to share my feedback about the guided tour I took on [date]. Unfortunately, the experience was disappointing. The guide arrived late, rushed through the tour, and didn’t provide much information. I was looking forward to learning more and enjoying the experience, but it fell short of my expectations. I hope you can address these issues for future tours. Thank you!",GPT,3,3,3,Tomer
Turning down a job offer or promotion,"I was offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","Hey, I wanted you to be the first to know that I've decided to decline the promotion. I'm so grateful for the opportunity and your belief in me, but I feel that I can best contribute in my current role. I hope you understand, and I appreciate your support in my decision. Thank you for thinking of me!",Friends RAG,5,4,5,Tomer
Informing someone that their gift wasnג€™t well-received,I received a gift that wasnג€™t what I expected. How can I express my feelings kindly if asked?,"
Hey [Giver's Name], thank you so much for the gift! It was really thoughtful of you. I have to admit it wasn’t quite what I expected, but I appreciate the gesture and the thought behind it. Thank you again!",GPT,4,5,5,Tomer
Ending a mentorship or advising relationship,My advisor isnג€™t meeting my needs anymore. How do I let them know that I want to end the relationship politely?,"Hello, I hope you're doing well. I wanted to touch base about our advisory relationship. I feel my needs have evolved, and I think it might be time for a change. Could we find a time to discuss this?",Claude,2,3,2,Tomer
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey, I wanted to chat about how I've been feeling about our friendship lately. I feel like we might have grown apart, and I don't feel as connected to you as I used to. I think it might be time for me to step away and give us both some space. I hope you understand, and I wish you all the best.",Friends RAG,4,5,5,Tomer
Disappointment Prompts,"I had an important meeting with my boss, and she was distracted the entire time. She didnג€™t listen to my concerns, kept checking her phone, and ended the meeting abruptly. How can I express my disappointment professionally?","Hey, I wanted to express my disappointment with how our meeting went earlier. I felt like you weren't fully present and didn't give my concerns the attention they deserved. I understand we all have off days, but I wanted to let you know that I didn't appreciate being brushed off like that. I hope we can schedule another meeting where we can both be more engaged and productive. Thanks.",Friends RAG,4,3,5,Tomer
Asking a coworker to stop copying your work,"A colleague keeps copying my work, and itג€™s frustrating. How can I ask them to stop without creating drama?","Hey [Colleague's Name], I hope you’re doing well! I wanted to bring something up that’s been on my mind. I’ve noticed that some of my work seems to be getting copied, and it’s been a bit frustrating for me. I’d really appreciate it if you could try to come up with your own ideas. Thanks for understanding!",GPT,3,2,5,Tomer
Confronting a family member about overstepping boundaries,"My parents keep overstepping boundaries, and I need to set limits. How do I phrase this without causing tension?","Hey, I wanted to chat about something that's been on my mind. I love you both, and I know you want what's best for me, but lately, I've felt like some boundaries have been overstepped, and it's time we talked about it. I need you to understand that I'm growing up and need to make my own decisions and mistakes. I know you're just looking out for me, but it's important to me that we set some clear limits. I want us to have a healthy relationship as I get older, and I think this is an important step towards that. Love you.",Friends RAG,4,5,5,Tomer
Turning down a family or cultural expectation,"I want to break away from a family tradition, but I donג€™t want to offend my parents. How can I phrase this carefully?","Hey Mom and Dad, I wanted to talk to you about something important. I know our family traditions mean a lot, but I've been thinking about taking a different path. Can we chat about this? I'd love to explain my perspective.",Claude,3,3,5,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same car mechanic for years, but I found a new shop I want to try. How can I inform them that I wonג€™t be coming back?","Hey [Mechanic's Name], I hope you’re doing well! I wanted to let you know that I’ve found a new shop I want to try, so I won’t be coming back for services anymore. I really appreciate all the great work you’ve done for me over the years. Thank you!",GPT,2,3,5,Tomer
Ending a collaboration thatג€™s not working,"A work collaboration isnג€™t productive, and I want to step away. How can I express this professionally?","""Hey, I wanted to talk to you about our collaboration. I'm not feeling like we're on the most productive path together, and I think it might be best for me to step away and explore other options. I want to be professional about this, and I hope we can both move forward positively. Thanks for understanding.""",Friends RAG,2,4,4,Tomer
Ending a long-term friendship,"A close friend and I have drifted apart, and I think itג€™s time to end the friendship. How can I phrase this kindly?","I've been reflecting on our friendship lately. We've drifted apart, and I think it might be time to acknowledge that. I cherish our memories and wish you nothing but the best going forward.",Claude,2,3,4,Tomer
Confronting a family member about overstepping boundaries,A sibling keeps overstepping and meddling in my personal life. How do I ask them to respect my boundaries?,"Hey, I'd like to talk about our relationship and some boundaries. Can we find a time to chat?",Claude,2,2,4,Tomer
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but Iג€™ve realized I need different guidance. How can I end the mentorship without causing offense?","Hi [Mentor's Name], I hope you’re doing well! I wanted to take a moment to thank you for all the guidance and support you’ve given me. After some reflection, I’ve realized that I need to pursue a different direction in my learning. I truly appreciate everything you’ve taught me, and I hope we can stay in touch!",GPT,3,4,4,Tomer
Asking a coworker to stop copying your work,"A colleague is imitating my work, and I want them to stop. How can I approach this respectfully?","Hey [Colleague's Name], I wanted to chat with you about something that’s been on my mind. I’ve noticed that some of the work you’ve been doing is quite similar to mine, and I’m sure it’s unintentional, but I’d appreciate it if we could try to keep our approaches more distinct. I think it’s important for both of us to bring our unique strengths to our projects, and I’m always happy to collaborate or share ideas if that helps. Thanks so much for understanding!",GPT,3,4,4,Tomer
Cancelling plans last minute,"Something came up, and I need to cancel our plans. How do I apologize without seeming inconsiderate?","Hey, sorry for the late notice, but something's come up and I have to cancel our plans. I know it's last minute, and I feel terrible about it. I hope we can reschedule soon. Apologies!",Friends RAG,4,4,5,Tomer
Addressing someone whoג€™s not paying you back,"I loaned money to a friend, and they keep avoiding repayment. How can I bring this up without making things uncomfortable?","Hey [Friend's Name], I hope you’re doing well! I wanted to touch base about the money I lent you. I know things can get busy, but if you could let me know when you might be able to pay it back, I’d really appreciate it. Thanks!",GPT,2,3,2,Tomer
Break Up,"Iג€™ve been seeing someone for a while, but Iג€™ve realized we have different life goals. Could you help me phrase a breakup message?","Hey, I wanted to talk to you about something that's been on my mind. I think you're great, but I've realized we might not be on the same path in terms of our future goals and aspirations. It's become clear to me that we want different things out of life, and I don't think it's fair to either of us to continue this relationship knowing that. I hope you understand, and I wish you all the best. Take care.",Friends RAG,2,4,4,Tomer
Asking a neighbor to stop being too loud,"My neighbors are really noisy late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without being rude?","Hey, I wanted to talk to you about something that's been bothering me. I live next door, and I'm not sure if you realize, but your noise late at night carries over to my place. I'm struggling to get decent sleep because of it. I wanted to ask if you could keep the volume down after, say, 11 pm. I know it might be an inconvenience, but it would help me out a lot. Thanks, and let me know if there's anything I can do on my end to help too.",Friends RAG,5,5,5,Tomer
Turning down a job offer or promotion,"The role offered seems great, but after thinking it over, I realized it's not the right fit for me. How can I say no without closing doors?","Hi [Hiring Manager's Name], I hope you’re doing well. Thank you so much for the offer for [Position Name]. After careful consideration, I’ve realized that it’s not the right fit for me at this time. I truly appreciate the opportunity and the time you invested in the process. I hope we can keep in touch for future opportunities. Thank you for your understanding!",GPT,3,3,3,Tomer
Cancelling plans last minute,I have to cancel plans last minute and I donג€™t want my friend to feel disrespected. How can I phrase this?,"Hey [Friend's Name], I’m really sorry to have to do this at the last minute, but something came up, and I won’t be able to make it today. I completely understand if this is disappointing, and I really appreciate your understanding. Let’s make sure to plan something again soon—I’m looking forward to catching up when things settle down.",GPT,3,3,4,Tomer
Ending a collaboration thatג€™s not working,"Iג€™ve been working with someone on a project, but itג€™s not going well. How can I end the collaboration without causing conflict?","Hey, I wanted to talk to you about our project. I think we should take a step back and re-evaluate our collaboration. It's clear that we're not on the same page, and I don't think we're achieving what we set out to do. I think it's best if we part ways on this one and maybe focus on our individual paths for now. I wish you all the best, and I hope we can still be cool.",Friends RAG,3,4,4,Tomer
Addressing someone whoג€™s not paying you back,"A coworker owes me money, but I donג€™t want to make it uncomfortable. How can I ask for repayment politely?","Hey, I hope this isn't awkward, but I wanted to check in about the money I lent you. No rush, but I was wondering if you had an idea of when you might be able to pay it back? Let me know if you need more time.",Claude,5,5,5,Tomer
Service Cancellation Prompts,"Iג€™ve had the same personal chef, but Iג€™ve decided to cook for myself now. How can I let them know I no longer need their services?","Hey [Chef's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to start cooking for myself, so I won’t be needing your services anymore. I really appreciate all the delicious meals you've prepared for me. Thank you!",GPT,3,3,5,Tomer
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","Hey [Friend's Name], I really appreciate you thinking of me for this business opportunity. It sounds exciting, but I’m not comfortable mixing friendship with business. I value our friendship a lot and hope we can keep it that way. Thank you for understanding!",GPT,3,3,3,Tomer
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing intimate details, and I need to set boundaries. How can I say this without hurting their feelings?","
Hey [Name], I hope you’re doing well! I really appreciate how open you are, but I’ve been feeling a bit overwhelmed by some of the intimate details you've shared. I think it would be helpful for me if we could keep our conversations a bit more general. Thank you for understanding!",GPT,2,3,4,Tomer
Break Up,"Iג€™ve been dating someone for a few months, but we argue constantly, and itג€™s exhausting. How can I break up with them without focusing on the negatives?","Hey [Their Name], I want to talk to you about something important. I really appreciate the time we’ve spent together over the past few months, and I think you’re a great person. However, I’ve realized that our relationship isn’t quite what I’m looking for right now. I think it’s best for both of us to go our separate ways. This isn’t an easy decision, and I hope you understand. I truly wish you all the best moving forward.",GPT,3,4,5,Tomer
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,I've been reflecting on our friendship lately. I feel we've grown apart. Can we chat about where we're at?,Claude,2,2,3,Tomer
Disappointment Prompts,"I ordered a custom cake for a special occasion, but it was nothing like what I asked for. The design was wrong, and it didnג€™t taste good. How can I express my disappointment to the bakery?","Hello, I wanted to reach out about the custom cake I ordered. Unfortunately, it didn't meet my expectations in terms of design or taste. I'd like to discuss this further.",Claude,2,2,4,Tomer
Rejecting someone who confessed their feelings,"Someone I know expressed romantic interest, but Iג€™m not interested. How do I let them down kindly?","Hey, I know it's tough, but it's best to be honest and direct. Something like: ""Hey, I really appreciate you sharing your feelings with me. It's really flattering, but I don't feel the same way, and I don't want to lead you on. I hope we can still be friends, though. I value our friendship.""",Friends RAG,4,3,5,Tomer
Informing someone that their gift wasnג€™t well-received,A family member gave me a gift that I canג€™t use. How do I tell them kindly if they ask about it?,"
Hey [Family Member's Name], I really appreciate the gift you gave me! It was very thoughtful of you. I wanted to let you know that I won’t be able to use it, but it means a lot to me that you thought of me. Thank you again!",GPT,2,3,4,Tomer
Informing someone that their gift wasnג€™t well-received,I got a gift that I donג€™t care for. How can I express this kindly if they ask about it?,"Hey, thanks again for thinking of me with that gift. I really appreciate the thought. Just to be honest, it's not quite my style, but I'm touched that you thought of me.",Claude,4,5,5,Tomer
Break Up,"My girlfriend and I have been together for 1 year, but Iג€™ve realized that Iג€™m not attracted to her in the way I should be. How can I break up with her in a way thatג€™s kind and honest?","Hey [Her Name], I want you to know how much I care about you and how much I’ve appreciated the time we’ve spent together over the past year. You’re an incredible person, which makes this really hard to say, but I’ve realized that I’m not feeling the connection in the way I think I should. It wouldn’t be fair to either of us if I kept going without being completely honest about how I feel. You deserve someone who can give you the kind of love and attraction that you deserve, and I hope you can find that. I’m truly sorry if this hurts you, and I hope you can understand where I’m coming from.",GPT,5,5,5,Tomer
Telling a friend you don't want to go into business with them,I donג€™t see myself in the business my friend wants me to join. How can I decline without ruining the friendship?,"""Hey, I wanted to talk to you about the business opportunity you offered. I've thought about it a lot, and I don't think it's the right fit for me. I appreciate you thinking of me, and I value our friendship, so I wanted to be honest. I hope you understand, and that we can keep our friendship intact.""",Friends RAG,3,4,3,Tomer
Rejecting someone who confessed their feelings,"A friend of mine expressed romantic feelings, but I donג€™t feel the same. How can I let them down kindly?","Hi, I'm honored that you feel that way about me. I care about you as a friend, but I don't have the same romantic feelings. I hope this doesn't change our friendship.",Claude,2,2,4,Tomer
Rejecting a gift or favor that has strings attached,"A family member offered me help, but I know it comes with expectations Iג€™m not comfortable with. How do I decline without causing tension?","Thank you so much for your offer to help. I really appreciate your kindness. After thinking it over, I don't feel comfortable accepting. I hope you understand.",Claude,2,2,3,Tomer
Service Cancellation Prompts,"Iג€™ve had a babysitter for a while, but I no longer need her services as my work schedule has changed. How do I phrase a message to let her know?","Hey, I hope you're doing well. I just wanted to let you know that I won't be needing your babysitting services anymore. My work schedule has changed, so I won't be requiring your help. I really appreciate all your support and just wanted to give you a heads-up. Thank you so much for everything!",Friends RAG,3,4,5,Tomer
Ending a long-term friendship,I need to step away from a toxic friendship. How can I do this respectfully?,"Hey [Friend's Name], I’ve been reflecting on our friendship, and I think it’s best for me to take a step back right now. I need some space to focus on my own well-being, and I hope you can understand that. I truly wish you all the best, and I’m grateful for the good moments we’ve shared. Take care.",GPT,3,3,3,Tomer
Rejecting someone who confessed their feelings,"Someone I work with confessed their feelings for me, but I donג€™t feel the same way. How do I reject them while keeping it professional?","Hi, I appreciate you sharing your feelings with me. While I'm flattered, I don't feel the same way. I hope we can continue to work together professionally.",Claude,3,3,4,Tomer
Turning down a job offer or promotion,"The job offer is great, but the salary doesnג€™t meet my expectations. How can I decline it professionally?","Hey [Recruiter's Name], thank you so much for the offer! I’m really excited about the opportunity and the team, but after careful consideration, I was hoping for a salary that aligns more closely with my expectations and market standards. Unfortunately, I won't be able to accept the offer at this time. I’d love to stay in touch and hope there might be a chance to work together in the future. Thanks again for everything!",GPT,2,3,4,Tomer
Rejecting someone who confessed their feelings,"A friend told me they like me, but I only see them as a friend. How can I turn them down without ruining the friendship?","Hey [Friend's Name], I really appreciate you being honest with me about your feelings. It means a lot, but I want to be clear that I see you as just a friend. I value our friendship and hope we can continue to be close. Thank you for understanding!",GPT,2,3,4,Tomer
Addressing a friend who frequently cancels plans,"My friend keeps canceling plans last minute, and itג€™s starting to bother me. How can I bring this up without causing offense?","Hey [Friend's Name], I wanted to chat with you about something that's been on my mind. I totally understand that things come up, but lately, it feels like our plans have been getting canceled last minute quite a bit. I always look forward to hanging out with you, so it’s been a little disappointing when it doesn’t work out. If there’s something going on, I’m here for you, and if not, maybe we can find a way to plan things that work better for both of us. I hope you understand where I’m coming from!",GPT,3,3,3,Tomer
Asking a neighbor to stop being too loud,"The neighborג€™s dog barks all day, and I want to ask them to address it. How can I phrase this kindly?","
Hey [Neighbor's Name], I hope you’re doing well! I wanted to talk to you about something. I’ve noticed that your dog barks quite a bit during the day, and it’s been a bit disruptive. I’d really appreciate it if you could look into it. Thank you for understanding!",GPT,3,4,4,Tomer
Informing someone that their gift wasnג€™t well-received,"I received a gift that doesnג€™t fit my needs, and I want to let the person know. How can I say this without seeming ungrateful?","Hey, I wanted to say a huge thank you for the gift. It was so thoughtful of you, and I really appreciate the gesture. However, I wanted to be honest and let you know that [insert reason it doesn't fit your needs]. I feel bad about it, but I thought it was best to be upfront. Thanks again, and I hope you're doing well!",Friends RAG,3,3,4,Tomer
Service Cancellation Prompts,"Iג€™ve been seeing the same therapist for a while, but Iג€™ve decided to switch to someone else. How can I inform them that I wonג€™t be continuing?","Hi [Therapist's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to switch to a different therapist, so I won’t be continuing our sessions. I truly appreciate all the support you’ve given me. Thank you!",GPT,2,3,3,Tomer
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","Hey, I hope you're doing well. I wanted to chat about the business idea you shared with me. I really value our friendship, and I think it's important to be honest about this. I don't feel comfortable moving forward with the venture, but I want you to know that it's not a reflection on our friendship or your idea. It's just not something I feel I can commit to right now. I hope you understand, and I'm here if you want to talk about it.",Friends RAG,4,4,4,Tomer
Break Up,"I've been dating a girl for 3 dates, but I just don't feel excited about it anymore. Can you help me end it kindly?","Hey, I wanted to chat about our dates. I had a nice time getting to know you, but I'm not feeling that spark, and I don't think it's fair to lead you on. I wish you all the best, and I hope we can both move on and find what we're looking for.",Friends RAG,4,5,5,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about an idea, but I know itג€™s not realistic. How can I let them down without hurting their feelings?","Hey, I know you're super excited about this idea, and I love your enthusiasm! But I want to be honest and let you know that I don't think it's very realistic. I don't want to rain on your parade, but I think we should chat about it and maybe tweak it a little so it's more achievable. I'm here to help and support you, and I want to see your ideas succeed! נ˜",Friends RAG,3,3,3,Tomer
Confronting someone about a hygiene issue,"My friend has bad breath, and I feel awkward bringing it up. How can I do it kindly?","Hey [Friend's Name], this is a bit awkward, but I thought you’d want to know—I’ve noticed your breath has been a little off lately. I know this kind of thing can be caused by all sorts of reasons, like diet or stress, and I just wanted to mention it in case you weren’t aware. I hope this doesn’t make you feel uncomfortable—I’m only bringing it up because I care and would want someone to tell me too.",GPT,4,5,5,Tomer
Ending a collaboration thatג€™s not working,"Iג€™ve been collaborating with someone on a project, but itג€™s not going well. How can I end it without burning bridges?","Hey, I wanted to touch base about our project. I feel like it's not progressing as we'd hoped. Can we have a chat about where we go from here? I have some thoughts I'd like to share.",Claude,3,3,3,Tomer
Addressing someone whoג€™s not paying you back,A coworker borrowed money but hasnג€™t made any effort to repay. How can I bring it up kindly without creating office drama?,"Hey, I wanted to talk to you about the money I lent you. I know it might be an awkward conversation, but I was wondering if you could repay me soon. I know it's not a huge deal, but I'd appreciate it. No hard feelings, I hope?",Friends RAG,3,3,3,Tomer
Service Cancellation Prompts,"Iג€™ve been getting my nails done at the same salon, but I found a new place closer to work. Can you help me phrase a message to cancel future appointments?","Hey [Salon Name], I hope you’re doing well! I wanted to let you know that I found a new salon closer to work, so I’ll need to cancel my future appointments. I really appreciate all the great service you've provided! Thank you!",GPT,3,4,5,Tomer
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey, I wanted to talk to you about our friendship. I feel like it's become a bit one-sided and uneven lately, and it's starting to affect me. I think it might be best for both of us if we took a step back and focused on other people and things for a while. I hope you understand, and I wish you all the best.",Friends RAG,3,3,4,Tomer
Asking a coworker to stop copying your work,"A coworker is mimicking my work, and itג€™s starting to affect me. How can I address this without causing tension?","Hey [Coworker's Name], I hope you’re doing well. I wanted to chat about something that’s been bothering me a bit. I’ve noticed that some of my work seems to be getting closely mimicked, and it’s affecting me. I’d appreciate it if you could focus on your own ideas. Thanks for understanding!",GPT,3,2,4,Tomer
Disappointment Prompts,"I recently had a plumber come to fix a leak in my bathroom, but after he left, the leak was still there. He charged me a lot for the job, and now I need to call someone else to fix it. How can I express my frustration?","Hi [Plumber's Name], I hope you’re well. I wanted to follow up regarding the plumbing service you provided on [date]. Unfortunately, the leak in my bathroom is still present, and I’m quite frustrated as I paid a significant amount for the repair. Now I need to call someone else to fix it. I would appreciate your input on this matter and any steps we can take to resolve it. Thank you for your attention.",GPT,2,3,4,Tomer
Pushy Parents,"My parents keep telling me to stop pursuing my art and get a 'real job,' but art is my passion. How can I let them know that I donג€™t want to give up my dream just to meet their expectations?","Hey Mom and Dad, I know you both care about my future and want what’s best for me, and I really appreciate your concern. But I need to be honest—art is my passion, and it’s something that makes me feel fulfilled and alive. I understand that it might not seem like the most stable path, but it’s what I truly love doing, and I believe I can make something of it if I keep working hard. I hope you can respect my decision to pursue this dream, even if it’s different from what you imagined for me. It means a lot to me to have your support, and I hope you can understand where I’m coming from.",GPT,3,3,3,Tomer
Pushy Parents,"My parents keep asking when Iג€™m going to 'settle down,' but thatג€™s not what I want right now. How do I explain that Iג€™m happy with my current life and not in a rush to change it?","Hey Mom and Dad, I know you’re wondering when I’m going to 'settle down,' and I appreciate that you’re looking out for my future and want to see me happy. But I just want you to know that I’m really content with where I am in my life right now. I’m focusing on things that matter to me, and I’m not in a rush to make any big changes. I hope you can trust that I’m making the right choices for myself, and that when the time is right for me to settle down, it will happen naturally. For now, I’m enjoying the journey I’m on, and your support means a lot to me.",GPT,4,4,5,Tomer
Confronting someone about a hygiene issue,I have a coworker with a hygiene problem thatג€™s making things awkward at work. How can I approach this delicately?,"Hey, can we have a private chat when you have a moment? There's a sensitive topic I'd like to discuss with you.",Claude,3,2,2,Tomer
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing, and I want to set boundaries. How can I say this without hurting their feelings?","Hey, I wanted to chat about something. I value our friendship, but I feel like you share a lot of personal info, and I'm not always comfortable with that. I want to set some boundaries, but I didn't want to hurt your feelings. I think it's important we both feel comfortable, so let's talk about it and find a balance that works for us.",Friends RAG,3,4,5,Tomer
Disappointment Prompts,"I went to a spa for a relaxing massage, but the experience was anything but relaxing. The room was cold, the therapist was late, and I could hear construction noise the entire time. How can I complain to the spa politely?","Hey, I wanted to let you know about my experience at the spa. I was really looking forward to a relaxing massage, but it was far from perfect. The room was freezing, the therapist was late, and I could clearly hear construction noise throughout my session. I wanted to bring this to your attention so that you can ensure other customers don't have the same disappointing experience. Thanks, and I hope you can make some improvements!",Friends RAG,3,3,4,Tomer
Break Up,"Iג€™ve been seeing a guy for a few weeks, but Iג€™ve noticed some red flags that I canג€™t ignore. How do I end it before things get more serious?","Hey [His Name], I hope you’re doing well. I’ve enjoyed getting to know you over the past few weeks, but after some reflection, I’ve realized that there are a few things that have raised concerns for me. I think it’s best for both of us to go our separate ways now rather than continue down a path that may not be right for either of us. I appreciate the time we spent together, and I wish you all the best moving forward.",GPT,2,3,4,Tomer
Addressing someone whoג€™s not paying you back,"I loaned money to a family member, and they havenג€™t repaid me. How can I ask for it back without causing tension?","Hey, I know we talked about the loan, and I appreciate you coming to me for help. I wanted to check in and see if you're in a position to pay me back yet? I know these things can take time, but I just wanted to bring it up before it became an issue. No pressure, but let me know when you can. Thanks!",Friends RAG,4,3,4,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,"I accepted being a bridesmaid, but my financial situation has changed, and I canג€™t commit anymore. How can I back out without upsetting the bride?","Hey, I need to talk to you about something important. My financial situation has changed, and I'm having concerns about being a bridesmaid. Can we chat?",Claude,3,3,2,Tomer
