Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I donג€™t want to be a groomsman anymore. How can I tell my friend without causing hard feelings?,"Hey [Friend's Name], I’ve been thinking a lot about your wedding, and I’m so grateful that you asked me to be a groomsman. It means a lot to me. After some careful thought, I realized that I won’t be able to commit to everything that comes with the role right now. I want to be honest with you because I don’t want to let you down last minute. I’m really sorry if this causes any inconvenience, and I hope you understand. I’m still looking forward to celebrating with you on your big day, and if there’s anything else I can do to support you, please let me know!",GPT,5,4,3,Or
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are affecting our relationship. How can I say this kindly?,"Hey, I wanted to talk to you about something that's been on my mind. I've noticed that we've been making plans, but then they often get canceled, and it's starting to affect our friendship. I value our time together, and I want to make sure we can still hang out and have a good time. Can we talk about this and maybe figure out a way to make sure our plans stick? I value our friendship and don't want to lose it over something like this.",Friends RAG,5,5,4,Or
Breaking bad news to someone whoג€™s overly enthusiastic,"A friend is really excited about a plan, but I need to break the bad news that itג€™s not going to happen. How can I phrase this gently?","Hey, I know you're really excited about this, and I am so sorry to be the one to break it to you, but it looks like our plan isn't going to work out. I feel terrible about this, but I wanted to be honest and let you know now. I hope we can figure something else out soon!",Friends RAG,5,5,3,Or
Confronting a family member about overstepping boundaries,"My parents keep overstepping boundaries, and I need to set limits. How do I phrase this without causing tension?","Hey Mom and Dad, I really appreciate how much you care about me, and I know you always have my best interests at heart. I’ve been feeling like I need a bit more space to make my own decisions and handle some things on my own. It’s important to me to have that independence, and I hope you can understand. I’ll always value your support and advice when I ask for it, but I’d really appreciate it if you could give me some room to navigate things my way. Thanks so much for understanding.",GPT,5,5,4,Or
Rejecting someone who confessed their feelings,"A friend of mine expressed romantic feelings, but I donג€™t feel the same. How can I let them down kindly?","Hey, I wanted to chat about what you told me the other day. It was really brave of you to express how you feel, and I'm honored you felt comfortable doing so. I just wanted to be honest and let you know that I don't feel the same way, romantically. I value our friendship so much, and I really hope we can stay friends and that this doesn't change things between us.",Friends RAG,5,5,5,Or
Asking a neighbor to stop being too loud,"The neighborג€™s dog barks all day, and I want to ask them to address it. How can I phrase this kindly?","Hi there, I hope you're having a good day. Could we chat about your dog? I've noticed some frequent barking.",Claude,3,3,4,Or
Disappointment Prompts,"I booked a guided tour, but the guide was unprofessional. He arrived late, rushed through the tour, and didnג€™t provide much information. How can I express my disappointment in a message to the tour company?","Hello, I wanted to provide some feedback about the guided tour I took recently. Unfortunately, the experience fell short of my expectations. The guide was late, the tour felt rushed, and I didn't receive much information. I'd appreciate if we could discuss this further.",Claude,3,4,4,Or
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing, and I want to set boundaries. How can I say this without hurting their feelings?","Hey [Name], I really appreciate that you feel comfortable sharing things with me. I just wanted to be honest—I’ve been feeling a little overwhelmed with some of the more personal details lately. I hope you don’t take it the wrong way; I really value our conversations, but I think I need to set some boundaries around what I can handle. I’m here for you, but maybe we can focus on lighter topics or chat about things that are a bit less heavy sometimes. Thanks so much for understanding!",GPT,5,4,4,Or
Addressing someone whoג€™s not paying you back,"A family member borrowed money from me, and I need it back. How do I ask for it without causing tension?","Hi, I hope you're doing okay. I wanted to check in about the money I lent you. Do you have an idea of when you might be able to repay it?",Claude,3,4,3,Or
Informing someone that their gift wasnג€™t well-received,"I received a gift that doesnג€™t fit my needs, and I want to let the person know. How can I say this without seeming ungrateful?","Hey [Person's Name], thank you so much for the thoughtful gift! It really means a lot that you took the time to choose something for me. I wanted to let you know that it’s not quite the right fit for what I need right now, but I appreciate your kindness so much. I hope you don’t take this the wrong way—I just wanted to be honest, and I’m so grateful for your generosity",GPT,3,5,3,Or
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey, I've been doing some thinking about our friendship. I feel we've grown apart. Can we chat about where we're at?",Claude,3,3,3,Or
Disappointment Prompts,"I recently went to a new doctor, and the experience was awful. He didnג€™t take the time to listen to my concerns and seemed rushed during the entire appointment. How can I express my dissatisfaction to the clinic?","Hey, I wanted to reach out and let you know about my recent experience at your clinic. I saw [Doctor's Name], and I felt rushed and unheard during the appointment. I wanted to provide this feedback as I'm sure other patients might feel the same. I think it's important that doctors take the time to listen to their patients' concerns. I hope this helps, and please know that I value my health and the work you do.",Friends RAG,4,5,4,Or
Asking a coworker to stop copying your work,"A colleague is imitating my work, and I want them to stop. How can I approach this respectfully?","Hi there, I was hoping we could have a quick chat about our recent projects. I've noticed some similarities that I'd like to discuss. Can we find a time to talk about how we can both showcase our unique strengths?",Claude,4,4,3,Or
Pushy Parents,"My parents think Iג€™m wasting time by traveling, but itג€™s something that makes me really happy. How do I explain that I donג€™t want to stop traveling just because they think I should be more 'practical'?","Hey Mom and Dad, I know you’re worried that I might be spending too much time traveling and that you want me to focus on more practical things. I really appreciate that you’re looking out for me, but I want you to know that traveling is something that makes me truly happy. It gives me a sense of freedom and helps me learn and grow in ways that are important to me. I understand that it might not seem like the best use of my time from your perspective, but it’s something I’m passionate about, and I believe it’s adding a lot to my life right now. I hope you can support me in following what makes me feel fulfilled, even if it’s a little different from what you had in mind.",GPT,5,5,5,Or
Addressing someone whoג€™s not paying you back,"I loaned money to a family member, and they havenג€™t repaid me. How can I ask for it back without causing tension?","Hey [Family Member's Name], I hope you’re doing well! I wanted to touch base about the money I lent you a while back. I understand if things have been tight, but I’d really appreciate it if you could start thinking about repaying it when you’re able to. If you need a little more time or want to discuss a plan, just let me know—I’m happy to work something out. Thanks so much for understanding!",GPT,3,4,4,Or
Informing someone that their gift wasnג€™t well-received,"A friend keeps giving me gifts that arenג€™t my style, and I want to let them know. How can I do this without hurting their feelings?",I really appreciate your generosity with all the gifts. I'm touched by your thoughtfulness. Can we chat about gift-giving?,Claude,2,2,3,Or
Turning down a job offer or promotion,"The role offered seems great, but after thinking it over, I realized it's not the right fit for me. How can I say no without closing doors?","I appreciate the offer and the opportunity. After careful consideration, I don't think this role is the best fit for my career path right now. Thank you for your understanding.",Claude,3,4,3,Or
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Thank you for the job offer. After careful consideration, I don't think it's the right fit for me at this time. I appreciate the opportunity and wish you all the best in finding the right candidate.",Claude,3,4,4,Or
Addressing a friend who frequently cancels plans,I want to tell my friend that their frequent cancellations are becoming an issue. How do I say this kindly?,"Hey [Friend's Name], I wanted to share something with you. I always enjoy the time we spend together, and I really value our plans, but lately, it’s been a bit tough when our meetups get canceled so often. I totally understand that things come up, but I just wanted to let you know how it’s been affecting me. Maybe we could figure out a way to plan things that are a bit more flexible, or times that work better for you? I’m looking forward to hanging out when it works for both of us!",GPT,4,5,4,Or
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but it comes with obligations Iג€™m not comfortable with. How can I decline politely?","Hey, I wanted to let you know that I'm not comfortable accepting the gift you offered. It's so kind of you, but I feel like it comes with obligations that I'm not ready for. I hope you understand, and I appreciate your gesture. Let's chat soon about something fun we can do together instead!",Friends RAG,4,4,4,Or
Breaking bad news to someone whoג€™s overly enthusiastic,I need to tell a coworker that the project theyג€™re excited about wonג€™t go forward. How do I break the news kindly?,"Hey, I wanted to touch base about the project you've been working on. There's been a change in plans I need to discuss with you. Can we find a time to chat? I'd like to explore other opportunities too.",Claude,3,3,3,Or
Cancelling plans last minute,I double-booked and need to cancel plans last minute. How do I tell my friend without sounding inconsiderate?,"I'm really sorry, but I accidentally double-booked myself. I have to cancel our plans. Can we reschedule? I feel awful about this mix-up.",Claude,3,4,3,Or
Break Up,"Iג€™ve been in a relationship for a year, but I feel like Iג€™m carrying the emotional weight of both of us. How do I break up without making them feel like theyג€™ve failed?","Hey [Their Name], I’ve been doing a lot of thinking about our relationship, and I want to share what’s on my mind. I really appreciate the time we’ve spent together over the past year, and I care about you. However, I’ve been feeling like I’m carrying a lot of the emotional weight in our relationship, and it’s been hard for me. I think it’s important for both of us to be in a situation where we feel balanced and fulfilled. I believe it might be best for us to go our separate ways. This decision isn’t about failure; it’s about recognizing what we both need to be truly happy. I hope you can understand, and I genuinely wish you the best moving forward.",GPT,3,4,3,Or
Disappointment Prompts,"I hired a photographer for a family event, but the photos turned out blurry, and she missed several key moments. How can I politely express my disappointment in the quality of her work?","Hi, I wanted to discuss the photos from our recent family event. While I appreciate your time, I'm concerned about the quality of some images and missed moments. Could we chat about this?",Claude,4,3,4,Or
Service Cancellation Prompts,"Iג€™ve been working with the same graphic designer, but I want to hire someone new for my next project. How do I inform them politely?","Hi [Designer’s Name], I hope you’re doing well! I wanted to let you know that I’ve decided to hire a new graphic designer for my next project. I really appreciate all the great work you've done for me. Thank you!",GPT,3,4,4,Or
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","Hey, I wanted to let you know that I'm so grateful for the opportunity and your belief in me. It means a lot! However, I'm happy where I am right now, and I don't want to take on more than I can handle. I hope you understand, and I truly appreciate your offer. Thank you!",Friends RAG,5,5,5,Or
Asking someone to stop oversharing personal details,"A friend tells me too much about their personal life, and itג€™s overwhelming. How do I ask them to tone it down kindly?","Hey [Friend's Name], I hope you’re doing well! I really appreciate your openness, but I’ve been feeling a bit overwhelmed by some of the personal details you share. I hope you don’t mind if we keep our conversations a bit lighter. Thanks for understanding!",GPT,4,4,4,Or
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Hey Mom and Dad, I’ve been thinking a lot about what you’ve said about taking over the family business, and I want you to know how much it means to me that you trust me with something so important. It’s clear how much love and effort you’ve put into building it, and that’s something I really respect and admire. But after a lot of reflection, I’ve realized that my heart is leading me in a different direction with my own dreams and passions. It’s not an easy choice, and I hope you understand that it’s not about rejecting the family legacy—it’s about following what I feel truly called to do. I’d love your support as I pursue this path, and I hope to make you proud in my own way. Thank you for always being there for me.",GPT,4,5,5,Or
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey [Friend's Name], I hope you’re doing well. I wanted to talk about something that’s been on my mind. I feel like we’ve grown apart over time, and I think it might be best for both of us to take a step back from our friendship. I appreciate the memories we’ve shared and wish you all the best moving forward. Thank you for understanding!",GPT,3,5,4,Or
Asking a neighbor to stop being too loud,"My neighbor plays loud music late at night, and itג€™s affecting my sleep. How can I ask them to be quieter without sounding rude?","Hey, I wanted to chat about your music volume. I totally get that you like to jam out, but it's impacting my sleep. Can we maybe discuss a volume limit for after a certain time at night? I don't want to be a pain, but I'm losing sleep here, and I thought you should know.",Friends RAG,4,5,3,Or
Break Up,"Iג€™ve been in a relationship for two years, and I love him, but I feel like weג€™re going in different directions in life. He wants to settle down, and Iג€™m not ready for that. How do I express this without breaking his heart?","Hey, I wanted to talk to you about something that's been on my mind. I love you, and I care about our relationship, but I feel like we might be moving in different directions. I'm not ready to settle down yet, and I don't want to hold you back from what you want. I hope you understand, and we can figure out a way to make this work without breaking your heart. I love you, and I don't want to lose what we have, but I think we need to talk about this soon.",Friends RAG,5,5,3,Or
Breaking bad news to someone whoג€™s overly enthusiastic,"Someone is thrilled about an event, but I know itג€™s going to be canceled. How do I break the news gently?","Hey, I have a feeling you don't know this yet, but I just heard that the event you're excited about might be canceled. I wanted to let you know as soon as possible so that you're not blindsided when it happens. I know how much you were looking forward to it, and I'm really sorry. I'm here if you need to talk or if you want to vent about it.",Friends RAG,4,4,4,Or
Turning down a job offer or promotion,"The job offer is great, but the salary doesnג€™t meet my expectations. How can I decline it professionally?","I wanted to thank you again for the job offer. While I'm really excited about the role, I've decided to decline as the compensation doesn't quite align with my expectations. I truly appreciate the opportunity and wish you all the best.",Claude,4,4,4,Or
Telling someone you no longer want to be their bridesmaid/groomsman,"I accepted being a bridesmaid, but my financial situation has changed, and I canג€™t commit anymore. How can I back out without upsetting the bride?","Hey, I wanted to talk to you about the bridesmaid situation. I'm so sorry, but my financial situation has changed, and I can't commit to being a bridesmaid anymore. I know it's a lot to process, and I'm truly sorry for any inconvenience this may cause. I hope we can still be on good terms, and I wish you all the best with the wedding plans.",Friends RAG,3,5,4,Or
Break Up,"Iג€™ve been in a relationship for a while, but Iג€™ve realized Iג€™m happier when Iג€™m alone. Can you help me write a breakup message?","Hey, I wanted to talk to you about something. I think we should take some time apart and focus on ourselves for a while. I really value our relationship, but I've realized that I need some space to work on my own happiness. I hope you understand, and I genuinely wish you all the best. Take care.",Friends RAG,3,4,3,Or
Telling someone you no longer want to be their bridesmaid/groomsman,Iג€™ve decided I canג€™t be a part of my friendג€™s wedding party anymore. How do I tell them without causing tension?,"Hey, I need to talk to you about something important regarding your wedding. Can we find a time to chat?",Claude,5,3,4,Or
Break Up,"Iג€™ve been with my girlfriend for 2 years, but Iג€™ve developed feelings for someone else. I donג€™t want to hurt her, but I know I have to end it. Can you help me with a breakup text?","Hey, I know we've been together for a while now, and I care about you a lot, but I need to be honest: my feelings have changed, and I've developed feelings for someone else. I don't want to lead you on or hurt you any further, so I think it's best we part ways. I'm really sorry, and I hope you can understand.",Friends RAG,3,5,4,Or
Service Cancellation Prompts,"Iג€™ve been using the same caterer for my events, but Iג€™ve decided to try someone new. How do I politely cancel their services?","Hi, I hope this message finds you well. I've decided to try a new caterer for my upcoming events. Thank you for all your excellent service in the past.",Claude,2,4,3,Or
Service Cancellation Prompts,"Iג€™ve been seeing the same therapist for a while, but Iג€™ve decided to switch to someone else. How can I inform them that I wonג€™t be continuing?","Hi, I hope you're doing well. After careful consideration, I've decided to switch to a different therapist. Thank you for all your support and guidance.",Claude,2,4,3,Or
Break Up,"Iג€™ve been with my partner for 5 years, and weג€™ve grown comfortable, but I donג€™t feel passionate anymore. How do I break up without making them feel like itג€™s their fault?","Hey [Partner's Name], I want to talk about something that’s been on my mind for a while. I truly value the time we’ve spent together over the last five years, and I care about you deeply. However, I’ve been feeling like the passion and connection we once had has changed, and I think it’s important to be honest about it. I believe it would be best for both of us to go our separate ways and explore what we truly want in our lives. This decision isn’t a reflection of anything you’ve done—it's more about where I am personally. I hope you can understand, and I wish you all the best moving forward.",GPT,4,5,4,Or
Confronting a family member about overstepping boundaries,"A family member keeps offering unsolicited advice, and I want to ask them to stop. How do I say this without causing conflict?","Hey, I wanted to talk to you about something. I really appreciate your advice and that you care enough to offer it, but sometimes I feel like I'm being given a bit too much guidance. I want to figure some things out on my own and would appreciate it if we could just chat without the extra advice. I hope you understand.",Friends RAG,4,4,4,Or
Confronting someone about a hygiene issue,"I have a roommate with a hygiene problem, and itג€™s affecting our living situation. How can I address this delicately?","Hey, I wanted to talk to you about something that's been on my mind. I'm not sure how to say this, but I've noticed an issue with your personal hygiene lately, and it's starting to affect our living situation. I wanted to bring it up directly with you before it becomes a bigger problem. I'm happy to help in any way I canג€”whether that's running some extra loads of laundry or just reminding you to take a shower. Let me know if there's anything I can do to support you, okay?",Friends RAG,4,5,4,Or
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","I'm honored you'd consider me for your business venture. After careful thought, I don't think mixing our friendship with business is the right choice for me. I hope you can understand.",Claude,3,4,3,Or
Disappointment Prompts,"Iג€™ve been working with a personal trainer, but I feel like Iג€™m not getting the attention I need. Heג€™s always late to our sessions and spends more time on his phone than helping me. How can I let him know that Iג€™m disappointed in the service?","Hey, I wanted to touch base about our training sessions. I feel like I'm not getting the attention I need to reach my fitness goals. You're often late, and there's a lot of phone use during our time. Can we discuss how to improve our sessions?",Claude,4,5,3,Or
Break Up,"Iג€™ve been dating someone for a while, but their lifestyle is very different from mine, and I donג€™t see us fitting together long-term. How can I break up in a way thatג€™s respectful?","Hi, I hope you're having a good day. There's something I wanted to talk about. I've really valued our time together, but I'm realizing our lifestyles might not be as compatible as I thought. Can we meet up to chat?",Claude,3,4,3,Or
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","Hey [Friend's Name], I hope you’re doing well! I wanted to talk about the business idea you mentioned. I truly value our friendship, but I don’t feel comfortable joining a business venture together. I hope you can understand where I’m coming from, and I’m looking forward to continuing to support each other in other ways!",GPT,3,4,3,Or
Service Cancellation Prompts,"Iג€™ve been using the same car mechanic for years, but I found a new shop I want to try. How can I inform them that I wonג€™t be coming back?","Hello, I hope this message finds you well. I've decided to try a new auto shop, so I won't be bringing my car in anymore. Thanks for all your reliable service over the years.",Claude,3,3,3,Or
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hey, I wanted to talk to you about something that's been on my mind. Our friendship has meant a lot to me over the years, but lately, it doesn't feel like it used to. I think it might be time for us to go our separate ways. I value the good times we had, but I think it's best for both of us to move on. I hope we can both find our peace and happiness separately. Take care.",Friends RAG,4,5,4,Or
Pushy Parents,"My parents think Iג€™m wasting time by pursuing my artistic career, but itג€™s what I love. How can I express that I donג€™t want to give up on my dreams just to make them happy?","Hey, I know it's a bit scary, but you need to tell your parents how you feel. It's your life, and your dreams are important. You can say something like, ""Hey, I wanted to talk to you about my future plans. I know you might have different ideas, but I really want to pursue an artistic career. It's what I'm passionate about, and I hope you can support me in this."" It's important to be honest and direct, but also respectful of their opinions. Good luck!",Friends RAG,4,4,4,Or
Break Up,"Iג€™ve been dating this girl for 6 months, but her family is very involved in our relationship, and itג€™s overwhelming me. How can I break up with her without making it about her family?","Hey [Her Name], I want you to know that I really appreciate the time we’ve spent together and how much I’ve gotten to know you. This isn’t easy to say, but I’ve been feeling like I need to take a step back from our relationship. It’s not about anything you’ve done—I just think I’m not in the right place for this right now, and I don’t want to keep going if I can’t give it my all. I hope you can understand where I’m coming from, and I truly wish you all the best moving forward.",GPT,3,5,3,Or
Cancelling plans last minute,"Something came up, and I need to cancel our plans. How do I apologize without seeming inconsiderate?","Hey [Friend's Name], I’m so sorry, but something unexpected came up, and I have to cancel our plans. I really hate to do this, especially last minute, and I hope it doesn’t mess up your day too much. I’d love to make it up to you and find a time that works for both of us soon. Thanks so much for your understanding!""
",GPT,3,5,4,Or
Ending a mentorship or advising relationship,"I want to step away from a mentorship, but I donג€™t want to hurt their feelings. How can I do this kindly?","Hi [Mentor's Name], I want to thank you so much for the time and support you’ve given me. Your guidance has been so helpful, and I’ve learned a lot from our conversations. Lately, I’ve been reflecting on where I’m headed and feel like I need to take some time to focus on a few new directions on my own. I hope you understand, and I’m very grateful for everything you’ve shared with me. I’d love to stay in touch, and I’ll always appreciate your role in my journey. Thanks again!",GPT,5,5,4,Or
Ending a mentorship or advising relationship,My advisor isnג€™t meeting my needs anymore. How do I let them know that I want to end the relationship politely?,"Hey, I wanted to talk to you about something that's been on my mind. I feel like our advisor situation isn't working for me anymore, and I think it's time for a change. I value our relationship and the work we've done together, but I feel that we've reached a point where we need to part ways. I hope you can understand and respect my decision. Thank you for all your help and support so far.",Friends RAG,5,5,5,Or
Confronting someone about a hygiene issue,A friend has a hygiene problem thatג€™s making me uncomfortable. How can I bring it up without hurting their feelings?,"
Hey [Friend's Name], can we talk for a sec? I want to bring something up that might be a little awkward, but I think it’s important. I’ve noticed a hygiene issue that’s been making me a bit uncomfortable, and I thought you’d want to know. I really appreciate you being open to this conversation!",GPT,2,4,2,Or
Telling a friend you don't want to go into business with them,"My friend wants me to invest in their startup, but I have reservations. How do I say no kindly?","Hey [Friend's Name], thanks so much for thinking of me for this opportunity! I can see how much passion and effort you’re putting into the startup, and I really believe in your vision. After giving it some thought, I’ve decided that I’m not in a position to invest right now. But I’ll definitely be cheering for your success and am here to support you in other ways if I can. Wishing you all the best with this exciting venture!",GPT,4,5,4,Or
Break Up,"Iג€™ve been seeing a guy for 2 months, but his jealousy is starting to make me uncomfortable. How do I end the relationship without making it confrontational?","Hey, I hope you're doing alright. There's something I need to talk to you about. I've really enjoyed getting to know you, but I'm not comfortable with how things are going. Can we meet up to chat?",Claude,3,4,3,Or
Turning down a family or cultural expectation,"I want to break away from a family tradition, but I donג€™t want to offend my parents. How can I phrase this carefully?","Hey, I know it's a [Name] family tradition, but I don't feel comfortable continuing it. I want to do things differently and make my own choices. I hope you understand, and I don't want to offend you or anyone. I just wanted to be honest and let you know my feelings.",Friends RAG,4,5,4,Or
Service Cancellation Prompts,"Iג€™ve been working with the same web developer, but I want to hire someone new for my next project. How do I let them know politely?","Hello, I hope this message finds you well. For my next project, I've decided to work with a different web developer. Thank you for all your great work on previous projects.",Claude,3,4,4,Or
Disappointment Prompts,"I had an important meeting with my boss, and she was distracted the entire time. She didnג€™t listen to my concerns, kept checking her phone, and ended the meeting abruptly. How can I express my disappointment professionally?","Hi [Boss's Name], I hope you’re doing well. I wanted to share some feedback regarding our recent meeting. I appreciate the opportunity to discuss my concerns, but I felt that I wasn’t able to communicate effectively due to distractions during the meeting. I noticed you were checking your phone and that we didn’t have enough time to cover everything thoroughly. I believe open communication is important for our work, and I would appreciate the chance to revisit these topics when you have a moment. Thank you for your understanding.",GPT,3,4,3,Or
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,"Hey [Friend's Name], I hope you’re doing okay. I wanted to talk about our friendship because I’ve been feeling like it’s become one-sided and a bit draining for me. I think it’s best for both of us to part ways. I appreciate the moments we've shared, and I wish you all the best. Thank you for understanding!",GPT,3,5,3,Or
Asking a coworker to stop copying your work,Someone at work is using my ideas without permission. How do I address this without causing office tension?,"Hey, can we chat privately? I've noticed some overlap in our work recently. I'd like to discuss how we can ensure our ideas remain distinct while still collaborating effectively. Let me know when you're free to talk.",Claude,4,3,4,Or
Service Cancellation Prompts,"Hi, I've been using the same manicurist for years, but I found someone closer to my new place. Can you help me phrase a message to let her know I won't be coming anymore?","Hey! I wanted to let you know that I've found someone else to do my manicures, as they're now closer to my new place. I just wanted to say thanks for all the years of service and taking care of my nails! It's been fun, and I wish you all the best.",Friends RAG,4,4,4,Or
Addressing someone whoג€™s not paying you back,"A friend borrowed money from me months ago, and I need to ask for it back. How can I phrase this without making things awkward?","Hey, I know we haven't talked about this yet, but I wanted to mention the money you borrowed a while back. I know it might be awkward, but I need to ask for it back now. I hope that's cool with you!",Friends RAG,3,4,3,Or
Rejecting someone who confessed their feelings,"A friend confessed their feelings for me, but I donג€™t feel the same way. How can I reject them gently while preserving the friendship?","Hey, I wanted to chat about what you told me the other day. I care about you, and I value our friendship, but I don't feel the same way romantically. I wanted to be honest because you deserve to know, and I hope we can still be friends. I really value you and our time together.",Friends RAG,4,5,5,Or
Informing someone that their gift wasnג€™t well-received,I received a gift that wasnג€™t what I expected. How can I express my feelings kindly if asked?,"Thank you for the gift. I'm grateful for your kindness. Just to be open, it wasn't quite what I expected, but I appreciate the thought.",Claude,3,3,4,Or
Disappointment Prompts,"I had a bad experience with a caterer for my event. They arrived late, the food was cold, and they ran out of drinks halfway through. How can I write a message to express my disappointment?","Hey, I wanted to let you know that I had a really bad experience with a caterer recently. They showed up late, the food was cold, and they didn't even bring enough drinks. I'm really disappointed and wanted to express this to them, but I'm not sure how. I feel like a complaint is in order, but I don't want to come across as overly negative. Any advice on how I should word this?",Friends RAG,2,2,2,Or
Disappointment Prompts,"I had a bad experience with my landlord. Iג€™ve been reporting issues with the apartment for months, but nothing has been fixed. How can I write a message to express my frustration?","Hi [Landlord's Name], I hope you’re doing well. I wanted to reach out regarding the ongoing issues in my apartment. I’ve reported several problems over the past few months, but unfortunately, nothing has been addressed. I’m becoming increasingly frustrated, as these issues are affecting my living conditions. I would appreciate it if we could discuss a timeline for resolving these matters. Thank you for your attention.",GPT,4,5,4,Or
Telling a friend you don't want to go into business with them,"A friend asked me to join their business, but Iג€™m not interested. How can I decline without hurting their feelings?","Hey, I wanted to chat about your business idea. I think it's amazing that you're pursuing this, and I wish I could get on board, but unfortunately, it's not something I can commit to right now. I hope you understand, and I really hope you find the right people to join you. I have no doubt you'll kill it!",Friends RAG,5,5,5,Or
